Row #,Facility,Latitude,Longitude,Total On- and Off-site Disposal or Other Releases
13,"AG LAYNE INC.4578 BRAZIL ST, LOS ANGELES CALIFORNIA 90039 (LOS ANGELES)",34.147,-118.275,"1,156.40"
14,"AIR LIQUIDE LARGE INDUSTRIES US LP - EL SEGUNDO.1310 E EL SEGUNDO BLVD, EL SEGUNDO CALIFORNIA 90245 (LOS ANGELES)",33.906,-118.402,"22,098.00"
15,"AIR PRODUCTS & CHEMICALS INC.23300 S ALAMEDA ST, CARSON CALIFORNIA 90810 (LOS ANGELES)",33.813,-118.231,"18,306.00"
16,"AIR PRODUCTS & CHEMICALS INC.700 N HENRY FORD AVE, WILMINGTON CALIFORNIA 90744 (LOS ANGELES)",33.781,-118.241,"33,376.00"
17,"AIRCRAFT X-RAY LABORATORIES INC.5216 PACIFIC BLVD, HUNTINGTON PARK CALIFORNIA 90255 (LOS ANGELES)",33.995,-118.225,185
18,"AIRGAS DRY ICE.2535 DEL AMO BLVD, TORRANCE CALIFORNIA 90503 (LOS ANGELES)",33.847,-118.333,"19,453.00"
19,"AIRGAS USA LLC.1502 W ANAHEIM ST, WILMINGTON CALIFORNIA 90744 (LOS ANGELES)",33.779,-118.284,"18,592.00"
20,"AIRGAS USA LLC.1340 E MISSION BLVD, POMONA CALIFORNIA 91766 (LOS ANGELES)",34.056,-117.729,0
21,"AIRGAS USA LLC.11711 S ALAMEDA ST, LOS ANGELES CALIFORNIA 90059 (LOS ANGELES)",33.927,-118.225,5
22,"ALATUS AEROSYSTEMS.20415 EAST WALNUT DRIVE NORTH, WALNUT CALIFORNIA 91789 (LOS ANGELES)",34,-117.859,0.3
23,"ALATUS AEROSYSTEMS.17055 EAST GALE AVENUE, INDUSTRY CALIFORNIA 91745 (LOS ANGELES)",34.001,-117.934,0.09
24,"ALERT PLATING CO.9939 GLENOAKS BLVD, SUN VALLEY CALIFORNIA 91352 (LOS ANGELES)",34.251,-118.388,0
25,"ALLFAST FASTENING SYSTEMS LLC.15200 DON JULIAN RD, CITY OF INDUSTRY CALIFORNIA 91745 (LOS ANGELES)",34.021,-117.969,162.5
26,"ALLOY PROCESSING.1900 W WALNUT ST, COMPTON CALIFORNIA 90220 (LOS ANGELES)",33.876,-118.247,83.881
27,"ALLOYS CLEANING INC.1960 E GAGE AVE, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",33.982,-118.237,"16,885.00"
28,"ALTA DENA CERTIFIED DAIRY LLC.17851 E RAILROAD ST, CITY OF INDUSTRY CALIFORNIA 91748 (LOS ANGELES)",33.997,-117.915,"8,055.10"
29,"ALTA DENA CERTIFIED DAIRY LLC.17637 E VALLEY BLVD, CITY OF INDUSTRY CALIFORNIA 91744 (LOS ANGELES)",34.008,-117.919,"7,142.20"
30,"ALTAIR PARAMOUNT LLC.14700 DOWNEY AVE, PARAMOUNT CALIFORNIA 90723 (LOS ANGELES)",33.9,-118.151,"6,352.98"
31,"AMERICAN POLYMERS CORP DBA POLYCOAT PRODUCTS.14722 SPRING AVE, SANTA FE SPRINGS CALIFORNIA 90670 (LOS ANGELES)",33.897,-118.04,"1,596.00"
32,"AMERICAN RENOLIT CORP LA.6900 ELM ST, COMMERCE CALIFORNIA 90040 (LOS ANGELES)",33.991,-118.134,417
33,"AMERICAS STYRENICS LLC.305 CRENSHAW BLVD, TORRANCE CALIFORNIA 90503 (LOS ANGELES)",33.846,-118.329,"29,082.00"
34,"AMERICH CORP.13212 SATICOY ST, NORTH HOLLYWOOD CALIFORNIA 91605 (LOS ANGELES)",34.208,-118.421,"14,443.00"
35,"AMVAC CHEMICAL CORP.4100 E WASHINGTON BLVD, LOS ANGELES CALIFORNIA 90023 (LOS ANGELES)",34.009,-118.188,"1,338.00"
36,"ANHEUSER-BUSCH LLC.15800 ROSCOE BLVD, VAN NUYS CALIFORNIA 91406 (LOS ANGELES)",34.221,-118.48,"34,255.00"
37,"ANODIZING INDUSTRIES INC.5222 ALHAMBRA AVE., LOS ANGELES CALIFORNIA 90032 (LOS ANGELES)",34.074,-118.172,10
38,"AOCUSA.8015 PARAMOUNT BLVD, PICO RIVERA CALIFORNIA 90660 (LOS ANGELES)",33.971,-118.113,0
39,"AQUAFINE CORP.29010 AVE PAINE, VALENCIA CALIFORNIA 91355 (LOS ANGELES)",34.445,-118.63,"1,489.82"
40,"ARCADIA INC.3225 E WASHINGTON BLVD, VERNON CALIFORNIA 90058 (LOS ANGELES)",34.014,-118.209,"3,105.00"
41,"ARKEMA COATING RESINS PLANT.19206 HAWTHORNE BLVD, TORRANCE CALIFORNIA 90503 (LOS ANGELES)",33.856,-118.35,"4,755.00"
42,"ARMSTRONG FLOORING INC.5037 PATATA STREET, SOUTH GATE CALIFORNIA 90280 (LOS ANGELES)",33.955,-118.176,12.3016
43,"ASPHALT PRODUCTS OIL CORP.5903 PARAMOUNT BLVD, LONG BEACH CALIFORNIA 90805 (LOS ANGELES)",33.862,-118.16,0
44,"ASSOCIATED READY MIXED CONCRETE - SANTA MONICA.1620 19TH ST, SANTA MONICA CALIFORNIA 90404 (LOS ANGELES)",34.025,-118.477,0
45,"ASSOCIATED READY MIXED CONCRETE INC.2730 E. WASHINGTON BLVD., LOS ANGELES CALIFORNIA 90023 (LOS ANGELES)",34.017,-118.222,0
46,"ASSOCIATED READY MIXED CONCRETE INC.8946 BRADLEY AVENUE, SUN VALLEY CALIFORNIA 91352 (LOS ANGELES)",34.231,-118.378,0
47,"ATLAS GALVANIZING LLC.2639 LEONIS BLVD, VERNON CALIFORNIA 90058 (LOS ANGELES)",34,-118.224,140.19
48,"AVIATION REPAIR SOLUTIONS INC.1480 CANAL AVE, LONG BEACH CALIFORNIA 90813 (LOS ANGELES)",33.785,-118.214,650.41
49,"AVIBANK MANUFACTURING INC.11500 SHERMAN WAY, NORTH HOLLYWOOD CALIFORNIA 91605 (LOS ANGELES)",34.201,-118.382,"1,346.00"
50,"AVK INDUSTRIAL PRODUCTS.25323 RYE CANYON ROAD, VALENCIA CALIFORNIA 91355 (LOS ANGELES)",34.437,-118.578,0
51,"BACHEM AMERICAS INC.3132 KASHIWA ST, TORRANCE CALIFORNIA 90505 (LOS ANGELES)",33.815,-118.34,907
52,"BAXALTA US INC PART OF THE TAKEDA GROUP.4501 COLORADO BLVD, LOS ANGELES CALIFORNIA 90039 (LOS ANGELES)",34.142,-118.27,"73,109.62"
53,"BERG LACQUER CO.3150 E PICO BLVD, LOS ANGELES CALIFORNIA 90023 (LOS ANGELES)",34.017,-118.214,"10,685.56"
54,"BODYCOTE THERMAL PROCESSING.3370 BENEDICT WAY, HUNTINGTON PARK CALIFORNIA 90255 (LOS ANGELES)",33.982,-118.205,"2,989.08"
55,"BOWMAN PLATING CO INC.2631 E 126TH ST, COMPTON CALIFORNIA 90222 (LOS ANGELES)",33.918,-118.225,0
56,"BRENNTAG PACIFIC INC.4545 ARDINE ST, SOUTH GATE CALIFORNIA 90280 (LOS ANGELES)",33.957,-118.189,0
57,"BRENNTAG PACIFIC INC.10747 PATTERSON PL, SANTA FE SPRINGS CALIFORNIA 90670 (LOS ANGELES)",33.937,-118.06,"23,771.39"
58,"BROWN-PACIFIC INC.13639 E BORA DR, SANTA FE SPRINGS CALIFORNIA 90670 (LOS ANGELES)",33.905,-118.04,"6,410.70"
59,"CAL METAL X.366 E 58TH ST  ATTN PARCEL 5100-007-003, LOS ANGELES CALIFORNIA 90011 (LOS ANGELES)",33.99,-118.269,4.8282317
60,"CALIBER AERO LLC.12065 CLARK ST, SANTA FE SPRINGS CALIFORNIA 90670 (LOS ANGELES)",33.939,-118.075,1
61,"CALIFORNIA AMFORGE CORP.750 N VERNON AVE, AZUSA CALIFORNIA 91702 (LOS ANGELES)",34.136,-117.916,0
62,"CALIFORNIA DAIRIES INC ARTESIA.11709 ARTESIA BLVD, ARTESIA CALIFORNIA 90701 (LOS ANGELES)",33.873,-118.085,"9,036.60"
63,"CALIFORNIA EXPANDED METALS CO.263 N COVINA LN, CITY OF INDUSTRY CALIFORNIA 91744 (LOS ANGELES)",34.048,-118.001,0
64,"CALPORTLAND CO ALAMEDA PLANT.1862 E 27TH ST, LOS ANGELES CALIFORNIA 90058 (LOS ANGELES)",34.013,-118.237,0
65,"CALPORTLAND CO LAX PLANT.5299 W 111TH ST, LOS ANGELES CALIFORNIA 90045 (LOS ANGELES)",33.935,-118.372,0
66,"CALPORTLAND CO NORMANDIE PLANT.19030 S NORMANDIE AVE, TORRANCE CALIFORNIA 90502 (LOS ANGELES)",33.858,-118.299,0
67,"CARDINAL INDUSTRIAL FINISHES.1329 POTRERO AVE, SOUTH EL MONTE CALIFORNIA 91733 (LOS ANGELES)",34.044,-118.056,179
68,"CARLTON FORGE WORKS.7743 E ADAMS ST, PARAMOUNT CALIFORNIA 90723 (LOS ANGELES)",33.895,-118.165,"1,187.00"
69,"CAST-RITE CORP.515 E AIRLINE WAY, GARDENA CALIFORNIA 90248 (LOS ANGELES)",33.887,-118.267,0
70,"CATALINA PACIFIC CONCRETE CO EL SEGUNDO PLANT.339 S AVIATION BLVD, EL SEGUNDO CALIFORNIA 90245 (LOS ANGELES)",33.913,-118.379,0
71,"CATALINA UTILITIES CENTER.1 PEBBLY BEACH RD, AVALON CALIFORNIA 90704 (LOS ANGELES)",33.334,-118.313,"2,427.30"
72,"CCI INC.420 E ARROW HWY, SAN DIMAS CALIFORNIA 91773 (LOS ANGELES)",34.102,-117.8,0
73,"CCI INC.3540 E 26TH ST, VERNON CALIFORNIA 90058 (LOS ANGELES)",34.012,-118.208,0
74,"CEMEX COMPTON PLANT.2722 N ALAMEDA ST, COMPTON CALIFORNIA 90222 (LOS ANGELES)",33.917,-118.223,0
75,"CEMEX CONSTRUCTION MATERIALS LP.20903 CURRIER RD, WALNUT CALIFORNIA 91789 (LOS ANGELES)",34.008,-117.849,0
76,"CEMEX HOLLYWOOD PLANT.1000 N LA BREA AVE, WEST HOLLYWOOD CALIFORNIA 90038 (LOS ANGELES)",34.089,-118.344,0
77,"CEMEX INGLEWOOD PLANT.505 RAILROAD PL., INGLEWOOD CALIFORNIA 90302 (LOS ANGELES)",33.966,-118.364,0
78,"CEMEX LOS ANGELES PLANT.625 LAMAR, LOS ANGELES CALIFORNIA 90031 (LOS ANGELES)",34.066,-118.223,0
79,"CERTIFIED ENAMELING INC.3342 EMERY ST, LOS ANGELES CALIFORNIA 90023 (LOS ANGELES)",34.016,-118.207,"5,470.00"
80,"CHEMOIL CORP.1004 PIER F AVE, LONG BEACH CALIFORNIA 90802 (LOS ANGELES)",33.752,-118.209,601.78735
81,"CHEMOIL TERMINALS CORP.2365 E SEPULVEDA BLVD, CARSON CALIFORNIA 90810 (LOS ANGELES)",33.805,-118.226,"1,897.55"
82,"CHEVRON MONTEBELLO TERMINAL.601 S VAIL AVE, MONTEBELLO CALIFORNIA 90640 (LOS ANGELES)",34.005,-118.123,"1,691.56"
83,"CHEVRON PRODUCTS CO DIV OF CHEVRON USA INC.324 W EL SEGUNDO BLVD, EL SEGUNDO CALIFORNIA 90245 (LOS ANGELES)",33.908,-118.409,"1,703,702.45"
84,"CHEVRON VAN NUYS TERMINAL.15359 OXNARD ST, VAN NUYS CALIFORNIA 91411 (LOS ANGELES)",34.179,-118.468,"1,423.31"
85,"CHROMAL PLATING CO.1748 WORKMAN STREET, LOS ANGELES CALIFORNIA 90031 (LOS ANGELES)",34.063,-118.214,1.4
86,"CIRCUIT SERVICES LLC.18634 PARTHENIA ST, NORTHRIDGE CALIFORNIA 91324 (LOS ANGELES)",34.228,-118.54,0.243
87,"CIRCUIT SERVICES LLC DBA CAREER TECHNOLOGIES CHATSWORTH F.9535 OWENSMOUTH AVE, CHATSWORTH CALIFORNIA 91311 (LOS ANGELES)",34.244,-118.602,6.05
88,"COAST PLATING INC.417 W 164TH ST, GARDENA CALIFORNIA 90248 (LOS ANGELES)",33.883,-118.281,"24,242.43"
89,"COAST PLATING INC 1.128 W 154TH ST, GARDENA CALIFORNIA 90248 (LOS ANGELES)",33.892,-118.277,"8,579.11"
90,"CONCORDE/INTERSPACE BATTERY CORP.2009 SAN BERNARDINO ROAD, WEST COVINA CALIFORNIA 91790 (LOS ANGELES)",34.09,-117.945,"3,157.43"
91,"CONSOLIDATED FOUNDRIES INC.8333 WILCOX AVE, CUDAHY CALIFORNIA 90201 (LOS ANGELES)",33.957,-118.18,0
92,"CONSOLIDATED PRECISION PRODUCTS CORP.4200 W VALLEY BLVD, POMONA CALIFORNIA 91766 (LOS ANGELES)",34.035,-117.825,505.8
93,"COSMETIC LABORATORIES OF AMERICA.20245 SUNBURST ST, CHATSWORTH CALIFORNIA 91311 (LOS ANGELES)",34.235,-118.574,4
94,"CRANE HYDRO AIRE.3000 WINONA AVE, BURBANK CALIFORNIA 91504 (LOS ANGELES)",34.199,-118.344,318
95,"CUSTOM BUILDING PRODUCTS INC.6511 SALT LAKE AVE, BELL CALIFORNIA 90201 (LOS ANGELES)",33.979,-118.204,0
96,"CUSTOM CALIFORNIA CRAFT BEER LLC DBA GOLDEN ROAD BREWING.5430 W SAN FERNANDO RD, LOS ANGELES CALIFORNIA 90039 (LOS ANGELES)",34.151,-118.275,0
97,"CUSTOM CHEMICAL FORMULATORS INC.8707 MILLERGROVE DRIVE, SANTA FE SPRINGS CALIFORNIA 90670 (LOS ANGELES)",33.964,-118.08,22.74
98,"CUSTOM FIBREGLASS MANUFACTURING CO.1711 HARBOR AVE, LONG BEACH CALIFORNIA 90813 (LOS ANGELES)",33.789,-118.211,"37,552.00"
99,"DANCO ANODIZING (DBA DANCO METAL SURFACING).36 LA PORTE ST, ARCADIA CALIFORNIA 91006 (LOS ANGELES)",34.144,-118.03,0
100,"DAVIS WIRE CORP.5555 IRWINDALE AVE, BALDWIN PARK CALIFORNIA 91706 (LOS ANGELES)",34.113,-117.936,186.9
101,"DAY-GLO COLOR CORP.4615 ARDINE ST, CUDAHY CALIFORNIA 90201 (LOS ANGELES)",33.957,-118.186,"1,653.00"
102,"DECCO US POSTHARVEST INC.1713 S CALIFORNIA AVE, MONROVIA CALIFORNIA 91016 (LOS ANGELES)",34.133,-117.995,0
103,"DEMENNOKERDOON DBA WORLD OIL RECYCLING.2000 NORTH ALAMEDA STREET, COMPTON CALIFORNIA 90222 (LOS ANGELES)",33.91,-118.222,71.58379
104,"DESIGNED METAL CONNECTIONS.14800 S. FIGUEROA ST, GARDENA CALIFORNIA 90248 (LOS ANGELES)",33.899,-118.283,398
105,"DUCOMMUN AEROSTRUCTURE INC.268 E GARDENA BLVD, GARDENA CALIFORNIA 90248 (LOS ANGELES)",33.882,-118.272,1
106,"DUCOMMUN AEROSTRUCTURES.140 E GARDENA BLVD, GARDENA CALIFORNIA 90248 (LOS ANGELES)",33.882,-118.274,0
107,"EATON - TORRANCE.1111 KNOX ST, TORRANCE CALIFORNIA 90502 (LOS ANGELES)",33.854,-118.295,0.04044
108,"ECO SERVICES OPERATIONS CORP.20720 S WILMINGTON AVE, CARSON CALIFORNIA 90746 (LOS ANGELES)",33.843,-118.233,"7,373.11"
109,"ECOLAB INC.18383 E RAILROAD ST, CITY OF INDUSTRY CALIFORNIA 91748 (LOS ANGELES)",33.997,-117.903,"1,126.00"
110,"ELITE COMFORT SOLUTIONS.4542 E DUNHAM ST, LOS ANGELES CALIFORNIA 90040 (LOS ANGELES)",34.013,-118.174,755
111,"ENGINEERED POLYMER SOLUTIONS INC.5501 E SLAUSON AVE, CITY OF COMMERCE CALIFORNIA 90040 (LOS ANGELES)",33.987,-118.166,"11,787.00"
112,"EPMAR CORP.13210 E BARTON CIRCLE, SANTA FE SPRINGS CALIFORNIA 90670 (LOS ANGELES)",33.947,-118.048,0
113,"EQUILON CARSON TERMINAL.20945 S WILMINGTON AVE, CARSON CALIFORNIA 90810 (LOS ANGELES)",33.839,-118.237,"22,375.30"
114,"EQUILON MORMON ISLAND TERMINAL.100-200 FALCON STREET, WILMINGTON CALIFORNIA 90744 (LOS ANGELES)",33.76,-118.262,658.2
115,"EVONIK CORP.3305 E 26TH ST, LOS ANGELES CALIFORNIA 90058 (LOS ANGELES)",34.013,-118.213,"69,897.00"
116,"EXXONMOBIL OIL CORP VERNON TERMINAL.2709 E 37TH ST, VERNON CALIFORNIA 90058 (LOS ANGELES)",34.009,-118.222,537
117,"FABRI COTE.724 E 60TH ST, LOS ANGELES CALIFORNIA 90001 (LOS ANGELES)",33.986,-118.262,"25,382.00"
118,"FOAM MOLDERS INC.20004 STATE RD, CERRITOS CALIFORNIA 90703 (LOS ANGELES)",33.849,-118.095,0
119,"FS PRECISION TECHNOLOGY LLC.3025 E VICTORIA ST, COMPTON CALIFORNIA 90221 (LOS ANGELES)",33.865,-118.207,"6,690.40"
120,"FTG CIRCUITS.20750 MARILLA ST, CHATSWORTH CALIFORNIA 91311 (LOS ANGELES)",34.248,-118.586,10
121,"GARDENA PLANT 25.301 W. ROSECRANS, ROSEWOOD CALIFORNIA 90061 (LOS ANGELES)",33.903,-118.228,24.29418
122,"GB MANUFACTURING INC CALIF ACRYLIC IND INC (DBA CAL SPAS).1462 E 9TH ST, POMONA CALIFORNIA 91766 (LOS ANGELES)",34.052,-117.728,"16,960.17"
123,"GCP APPLIED TECHNOLOGIES INC.7237 EAST GAGE AVE, LOS ANGELES CALIFORNIA 90040 (LOS ANGELES)",33.974,-118.127,4
124,"GENERAL MILLS OPERATIONS INC.1055 SANDHILL AVE, CARSON CALIFORNIA 90746 (LOS ANGELES)",33.879,-118.257,0
125,"GEORGE INDUSTRIES.4116 WHITESIDE ST, LOS ANGELES CALIFORNIA 90063 (LOS ANGELES)",34.06,-118.178,"240,987.00"
126,"GLENAIR LATHE SHOP.801 WESTERN AVE, GLENDALE CALIFORNIA 91201 (LOS ANGELES)",34.167,-118.294,0
127,"GLOBAL COMMUNICATION SEMICONDUCTOR LLC.23155 KASHIWA CT, TORRANCE CALIFORNIA 90505 (LOS ANGELES)",33.816,-118.345,255
128,"GLOBE IRON FOUNDRY.5649 E RANDOLPH ST, COMMERCE CALIFORNIA 90040 (LOS ANGELES)",33.979,-118.165,0.4497
129,"GOODRICH AIRCRAFT WHEELS & BRAKES.11120  S. NORWALK BLVD., SANTA FE SPRINGS CALIFORNIA 90670 (LOS ANGELES)",33.93,-118.072,"1,529.00"
130,"GRANITIZE PRODUCTS INC.11022 VULCAN ST, SOUTH GATE CALIFORNIA 90280 (LOS ANGELES)",33.927,-118.167,0
131,"GRIFOLS BIOLOGICALS.5555 E VALLEY BLVD, LOS ANGELES CALIFORNIA 90032 (LOS ANGELES)",34.074,-118.163,"1,338.90"
132,"GRISWOLD INDUSTRIES DBA SOUNDCAST.8616 OTIS ST, SOUTH GATE CALIFORNIA 90280 (LOS ANGELES)",33.956,-118.196,5.01
133,"GROW MORE INC.18800 SUSANA RD, EAST RANCHO DOMINGUEZ CALIFORNIA 90221 (LOS ANGELES)",33.858,-118.204,0
134,"GROW MORE INC.15600 NEW CENTURY BLVD, GARDENA CALIFORNIA 90248 (LOS ANGELES)",33.89,-118.282,0
135,"GS II INC (DBA CERTAINTEED).1431 W E ST, WILMINGTON CALIFORNIA 90744 (LOS ANGELES)",33.778,-118.285,1.6234
136,"HASA INC.23119 DRAYTON ST, SANTA CLARITA CALIFORNIA 91350 (LOS ANGELES)",34.412,-118.54,5
137,"HAWKER PACIFIC AEROSPACE.11310 11240 SHERMAN WAY, SUN VALLEY CALIFORNIA 91352 (LOS ANGELES)",34.201,-118.376,0
138,"HERAEUS PRECIOUS METALS NA LLC.13429 ALONDRA BLVD, SANTA FE SPRINGS CALIFORNIA 90670 (LOS ANGELES)",33.888,-118.046,"2,564.80"
139,"HERBERT MALARKEY ROOFING CO.9301 GARFIELD AVE, SOUTH GATE CALIFORNIA 90280 (LOS ANGELES)",33.945,-118.166,3.27
140,"HI-SHEAR CORP.2600 SKYPARK DR, TORRANCE CALIFORNIA 90505 (LOS ANGELES)",33.803,-118.331,"63,606.11"
141,"HILL BROTHERS CHEMICAL CO.15017 E CLARK AVE, CITY OF INDUSTRY CALIFORNIA 91745 (LOS ANGELES)",34.02,-117.977,96.5
142,"HJ BAKER & BRO LLC.1001 SCHLEY AVE, WILMINGTON CALIFORNIA 90744 (LOS ANGELES)",33.783,-118.233,"1,540.00"
143,"HOLLIDAY ROCK - SANTA CLARITA FACILITY.14320 SOLEDAD CANYON RD., CANYON COUNTRY CALIFORNIA 91387 (LOS ANGELES)",34.432,-118.385,0.151
144,"HOLLIDAY ROCK CO  SUN VALLEY.11420 PENROSE ST, SUN VALLEY CALIFORNIA 91352 (LOS ANGELES)",34.222,-118.38,0.085
145,"HOLLIDAY ROCK CO - VERNON.2822 S SOTO ST, LOS ANGELES CALIFORNIA 90023 (LOS ANGELES)",34.011,-118.22,0.098
146,"HOLLIDAY ROCK- INDUSTRY.711 FAIRWAY DR, WALNUT CALIFORNIA 91789 (LOS ANGELES)",34.002,-117.872,0.043
147,"HOLLIDAY ROCK-LONG BEACH.2521 E ARTESIA AVE, LONG BEACH CALIFORNIA 90805 (LOS ANGELES)",33.875,-118.162,0.066
148,"HOLLIDAY ROCK-PALMDALE.7749 E AVENUE T, LITTLEROCK CALIFORNIA 93543 (LOS ANGELES)",34.517,-117.956,195.116
149,"HONEYWELL INTERNATIONAL INC.2525 W 190TH ST, TORRANCE CALIFORNIA 90504 (LOS ANGELES)",33.858,-118.321,"28,144.63"
150,"HOWMET GLOBAL FASTENING SYSTEMS INC.135 N UNRUH AVE, CITY OF INDUSTRY CALIFORNIA 91744 (LOS ANGELES)",34.029,-117.964,27.499
151,"HOWMET GLOBAL FASTENING SYSTEMS INC.3000 W LOMITA BLVD, TORRANCE CALIFORNIA 90505 (LOS ANGELES)",33.811,-118.339,"2,255.35"
152,"HUCK INTERNATIONAL INC.900 E WATSON CENTER RD, CARSON CALIFORNIA 90745 (LOS ANGELES)",33.82,-118.259,"2,283.45"
153,"HUGHES BROS AIRCRAFTERS INC.11010 GARFIELD PL, SOUTH GATE CALIFORNIA 90280 (LOS ANGELES)",33.928,-118.17,15.46273
154,"HUNTSMAN ADVANCED MATERIALS AMERICAS LLC-LA SITE.5121 SAN FERNANDO RD W, LOS ANGELES CALIFORNIA 90039 (LOS ANGELES)",34.145,-118.272,1
155,"HYDRO EXTRUSION USA LLC.18111 E RAILROAD ST, INDUSTRY CALIFORNIA 91748 (LOS ANGELES)",33.997,-117.91,0
156,"INDEPENDENT INK INC.14705 S AVALON BLVD, GARDENA CALIFORNIA 90248 (LOS ANGELES)",33.899,-118.265,8
157,"INDUSTRIAL SERVICE OIL CO.1700 SOUTH SOTO, LOS ANGELES CALIFORNIA 90023 (LOS ANGELES)",34.018,-118.22,"255,703.00"
158,"INEOS COMPOSITES US LLC.6608 E 26TH ST, COMMERCE CALIFORNIA 90040 (LOS ANGELES)",33.983,-118.133,"5,187.00"
159,"INEOS POLYPROPYLENE LLC.2384 E 223RD ST, CARSON CALIFORNIA 90810 (LOS ANGELES)",33.824,-118.232,"13,780.00"
160,"INTERNATIONAL COATINGS CO INC.13929 E 166TH ST, CERRITOS CALIFORNIA 90703 (LOS ANGELES)",33.881,-118.036,0
161,"INTERPLASTIC CORP.12335 S VAN NESS AVE, HAWTHORNE CALIFORNIA 90250 (LOS ANGELES)",33.92,-118.318,"10,637.30"
162,"INX INTERNATIONAL INK CO.13821 MARQUARDT AVENUE, SANTA FE SPRINGS CALIFORNIA 90670 (LOS ANGELES)",33.906,-118.038,0
163,"IPS CORP.17109 S MAIN ST, GARDENA CALIFORNIA 90248 (LOS ANGELES)",33.876,-118.276,"1,587.00"
164,"IRWINDALE PLANT 13.13631 LIVE OAK AVENUE, IRWINDALE CALIFORNIA 91706 (LOS ANGELES)",34.108,-117.977,9.648454
165,"ISU PETASYS INC.12930 BRADLEY AVE, SYLMAR CALIFORNIA 91342 (LOS ANGELES)",34.305,-118.459,5
166,"ITT AEROSPACE CONTROLS.28150 INDUSTRY DR, VALENCIA CALIFORNIA 91355 (LOS ANGELES)",34.45,-118.627,0
167,"JANKOVICH CO PARAMOUNT FACILTY.14066 GARFIELD AVE, PARAMOUNT CALIFORNIA 90723 (LOS ANGELES)",33.906,-118.169,265
168,"JANKOVICH CO SAN PEDRO MARINE.73 BERTH, SAN PEDRO CALIFORNIA 90731 (LOS ANGELES)",33.728,-118.274,255
169,"JANKOVICH CO SAN PEDRO MARINE.BERTH 74, SAN PEDRO CALIFORNIA 90731 (LOS ANGELES)",33.738,-118.267,"1,270.00"
170,"JCI JONES CHEMICALS INC.1401 W DEL AMO BLVD, TORRANCE CALIFORNIA 90501 (LOS ANGELES)",33.847,-118.304,0
171,"JERSEYMAID MILK PRODUCTS VONS CO INC.3361 S BOXFORD AVE, COMMERCE CALIFORNIA 90040 (LOS ANGELES)",33.986,-118.151,5
172,"JOHANSON DIELECTRICS INC.15191 BLEDSOE ST, SYLMAR CALIFORNIA 91342 (LOS ANGELES)",34.306,-118.465,"5,085.50"
173,"JOHNSON & JOHNSON CONSUMER INC.5760 W 96TH ST, LOS ANGELES CALIFORNIA 90045 (LOS ANGELES)",33.949,-118.383,"8,179.04"
174,"JOHNSON LAMINATING & COATING INC.20631 ANNALEE AVE, CARSON CALIFORNIA 90746 (LOS ANGELES)",33.843,-118.254,"5,621.00"
175,"K F FIBERGLASS INC.8247 PHLOX ST, DOWNEY CALIFORNIA 90241 (LOS ANGELES)",33.939,-118.136,"8,769.00"
176,"KAISER ALUMINUM FABRICATED PRODUCTS LLC.6250 E BANDINI BLVD, LOS ANGELES CALIFORNIA 90040 (LOS ANGELES)",33.989,-118.147,173.81325
177,"KIK SOCAL INC.9028 DICE RD, SANTA FE SPRINGS CALIFORNIA 90670 (LOS ANGELES)",33.957,-118.066,654
